date,product_id,product_name,category,units_sold,revenue,unit_price,is_weekend,day_of_week,month,quarter,is_festival,festival_name,temperature,is_promotional,is_stockout,demand_score,date_parsed,days_since_start,week_of_year,day_of_month,units_sold_lag1,units_sold_lag7,revenue_lag1,units_sold_ma7,units_sold_ma30
2023-01-11,P001,Basmati Rice 5kg,Groceries,36,16200.0,450.0,False,Wednesday,1,Q1,False,None,12.6,False,False,36.31,2023-01-11,10,2,11,52.0,49.0,23400.0,60.57142857142857,63.06666666666667
2023-01-12,P001,Basmati Rice 5kg,Groceries,68,30600.0,450.0,False,Thursday,1,Q1,True,Makar Sankranti,10.5,False,False,67.84,2023-01-12,11,2,12,36.0,72.0,16200.0,72.14285714285714,76.6
2023-01-13,P001,Basmati Rice 5kg,Groceries,72,32400.0,450.0,False,Friday,1,Q1,True,Makar Sankranti,16.5,False,False,71.87,2023-01-13,12,2,13,68.0,39.0,30600.0,49.142857142857146,70.03333333333333
2023-01-14,P001,Basmati Rice 5kg,Groceries,98,44100.0,450.0,True,Saturday,1,Q1,True,Makar Sankranti,10.1,False,False,98.44,2023-01-14,13,2,14,72.0,47.0,32400.0,74.85714285714286,69.9
2023-01-15,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,True,Sunday,1,Q1,True,Makar Sankranti,16.7,False,True,112.36,2023-01-15,14,2,15,98.0,48.0,44100.0,52.285714285714285,60.53333333333333
2023-01-16,P001,Basmati Rice 5kg,Groceries,40,18000.0,450.0,False,Monday,1,Q1,False,None,13.2,False,False,39.51,2023-01-16,15,3,16,0.0,37.0,0.0,59.0,62.06666666666667
2023-01-17,P001,Basmati Rice 5kg,Groceries,41,18450.0,450.0,False,Tuesday,1,Q1,False,None,15.8,False,False,41.07,2023-01-17,16,3,17,40.0,52.0,18000.0,58.285714285714285,55.13333333333333
2023-01-18,P001,Basmati Rice 5kg,Groceries,36,16200.0,450.0,False,Wednesday,1,Q1,False,None,14.8,False,False,35.66,2023-01-18,17,3,18,41.0,36.0,18450.0,52.57142857142857,54.4
2023-01-19,P001,Basmati Rice 5kg,Groceries,49,22050.0,450.0,False,Thursday,1,Q1,False,None,7.9,False,False,49.35,2023-01-19,18,3,19,36.0,68.0,16200.0,66.14285714285714,57.0
2023-01-20,P001,Basmati Rice 5kg,Groceries,42,18900.0,450.0,False,Friday,1,Q1,False,None,10.6,False,False,41.68,2023-01-20,19,3,20,49.0,72.0,22050.0,46.142857142857146,52.733333333333334
2023-01-21,P001,Basmati Rice 5kg,Groceries,57,25650.0,450.0,True,Saturday,1,Q1,False,None,16.3,False,False,57.03,2023-01-21,20,3,21,42.0,98.0,18900.0,50.857142857142854,52.53333333333333
2023-01-22,P001,Basmati Rice 5kg,Groceries,61,27450.0,450.0,True,Sunday,1,Q1,False,None,10.0,False,False,61.2,2023-01-22,21,3,22,57.0,0.0,25650.0,50.142857142857146,47.13333333333333
2023-01-23,P001,Basmati Rice 5kg,Groceries,45,20250.0,450.0,False,Monday,1,Q1,False,None,16.9,False,False,44.72,2023-01-23,22,4,23,61.0,40.0,27450.0,53.285714285714285,50.3
2023-01-24,P001,Basmati Rice 5kg,Groceries,65,29250.0,450.0,False,Tuesday,1,Q1,True,Republic Day,14.3,False,False,65.31,2023-01-24,23,4,24,45.0,41.0,20250.0,64.0,53.7
2023-01-25,P001,Basmati Rice 5kg,Groceries,78,35100.0,450.0,False,Wednesday,1,Q1,True,Republic Day,16.0,False,False,78.33,2023-01-25,24,4,25,65.0,36.0,29250.0,59.285714285714285,56.5
2023-01-26,P001,Basmati Rice 5kg,Groceries,89,40050.0,450.0,False,Thursday,1,Q1,True,Republic Day,13.3,False,False,88.67,2023-01-26,25,4,26,78.0,49.0,35100.0,73.28571428571429,62.56666666666667
2023-01-27,P001,Basmati Rice 5kg,Groceries,125,56250.0,450.0,False,Friday,1,Q1,True,Republic Day,15.6,True,False,124.79,2023-01-27,26,4,27,89.0,42.0,40050.0,59.285714285714285,61.53333333333333
2023-01-28,P001,Basmati Rice 5kg,Groceries,48,21600.0,450.0,True,Saturday,1,Q1,False,None,13.0,False,False,48.25,2023-01-28,27,4,28,125.0,57.0,56250.0,36.0,57.36666666666667
2023-01-29,P001,Basmati Rice 5kg,Groceries,53,23850.0,450.0,True,Sunday,1,Q1,False,None,14.6,False,False,52.76,2023-01-29,28,4,29,48.0,61.0,21600.0,48.142857142857146,54.666666666666664
2023-01-30,P001,Basmati Rice 5kg,Groceries,47,21150.0,450.0,False,Monday,1,Q1,False,None,11.3,False,False,46.71,2023-01-30,29,5,30,53.0,45.0,23850.0,54.57142857142857,53.2
2023-01-31,P001,Basmati Rice 5kg,Groceries,43,19350.0,450.0,False,Tuesday,1,Q1,False,None,13.3,False,False,43.32,2023-01-31,30,5,31,47.0,65.0,21150.0,85.28571428571429,63.833333333333336
2023-02-01,P001,Basmati Rice 5kg,Groceries,40,18000.0,450.0,False,Wednesday,2,Q1,False,None,18.8,False,False,40.11,2023-02-01,31,5,1,43.0,78.0,19350.0,49.714285714285715,60.7
2023-02-02,P001,Basmati Rice 5kg,Groceries,44,19800.0,450.0,False,Thursday,2,Q1,False,None,15.3,False,False,43.91,2023-02-02,32,5,2,40.0,89.0,18000.0,82.14285714285714,68.3
2023-02-03,P001,Basmati Rice 5kg,Groceries,36,16200.0,450.0,False,Friday,2,Q1,False,None,19.2,False,False,36.24,2023-02-03,33,5,3,44.0,125.0,19800.0,61.285714285714285,60.63333333333333
2023-02-04,P001,Basmati Rice 5kg,Groceries,73,32850.0,450.0,True,Saturday,2,Q1,False,None,14.1,True,False,72.75,2023-02-04,34,5,4,36.0,48.0,16200.0,48.0,59.86666666666667
2023-02-05,P001,Basmati Rice 5kg,Groceries,46,20700.0,450.0,True,Sunday,2,Q1,False,None,17.4,False,False,45.67,2023-02-05,35,5,5,73.0,53.0,32850.0,37.714285714285715,48.36666666666667
2023-02-06,P001,Basmati Rice 5kg,Groceries,38,17100.0,450.0,False,Monday,2,Q1,False,None,19.9,False,False,38.16,2023-02-06,36,6,6,46.0,47.0,20700.0,80.57142857142857,54.63333333333333
2023-02-07,P001,Basmati Rice 5kg,Groceries,42,18900.0,450.0,False,Tuesday,2,Q1,False,None,13.4,False,False,41.79,2023-02-07,37,6,7,38.0,43.0,17100.0,45.285714285714285,52.63333333333333
2023-02-08,P001,Basmati Rice 5kg,Groceries,51,22950.0,450.0,False,Wednesday,2,Q1,False,None,20.7,False,False,50.82,2023-02-08,38,6,8,42.0,40.0,18900.0,62.285714285714285,58.4
2023-02-09,P001,Basmati Rice 5kg,Groceries,41,18450.0,450.0,False,Thursday,2,Q1,False,None,18.8,False,False,41.19,2023-02-09,39,6,9,51.0,44.0,22950.0,58.285714285714285,52.3
2023-02-10,P001,Basmati Rice 5kg,Groceries,49,22050.0,450.0,False,Friday,2,Q1,False,None,17.2,False,False,48.58,2023-02-10,40,6,10,41.0,36.0,18450.0,54.857142857142854,57.766666666666666
2023-02-11,P001,Basmati Rice 5kg,Groceries,49,22050.0,450.0,True,Saturday,2,Q1,False,None,19.8,False,False,48.67,2023-02-11,41,6,11,49.0,73.0,22050.0,50.142857142857146,54.1
2023-02-12,P001,Basmati Rice 5kg,Groceries,47,21150.0,450.0,True,Sunday,2,Q1,False,None,11.7,False,False,46.79,2023-02-12,42,6,12,49.0,46.0,22050.0,52.0,54.46666666666667
2023-02-13,P001,Basmati Rice 5kg,Groceries,52,23400.0,450.0,False,Monday,2,Q1,False,None,11.3,False,False,52.39,2023-02-13,43,7,13,47.0,38.0,21150.0,55.285714285714285,51.06666666666667
2023-02-14,P001,Basmati Rice 5kg,Groceries,52,23400.0,450.0,False,Tuesday,2,Q1,False,None,18.3,False,False,52.47,2023-02-14,44,7,14,52.0,42.0,23400.0,52.857142857142854,55.733333333333334
2023-02-15,P001,Basmati Rice 5kg,Groceries,49,22050.0,450.0,False,Wednesday,2,Q1,False,None,18.5,False,False,48.92,2023-02-15,45,7,15,52.0,51.0,23400.0,76.42857142857143,60.7
2023-02-16,P001,Basmati Rice 5kg,Groceries,48,21600.0,450.0,False,Thursday,2,Q1,False,None,12.8,False,False,47.69,2023-02-16,46,7,16,49.0,41.0,22050.0,51.0,59.96666666666667
2023-02-17,P001,Basmati Rice 5kg,Groceries,38,17100.0,450.0,False,Friday,2,Q1,False,None,19.9,False,False,38.03,2023-02-17,47,7,17,48.0,49.0,21600.0,104.28571428571429,69.93333333333334
2023-02-18,P001,Basmati Rice 5kg,Groceries,51,22950.0,450.0,True,Saturday,2,Q1,False,None,12.6,False,False,51.42,2023-02-18,48,7,18,38.0,49.0,17100.0,46.285714285714285,60.833333333333336
2023-02-19,P001,Basmati Rice 5kg,Groceries,57,25650.0,450.0,True,Sunday,2,Q1,False,None,15.1,False,False,56.92,2023-02-19,49,7,19,51.0,47.0,22950.0,45.57142857142857,61.86666666666667
2023-02-20,P001,Basmati Rice 5kg,Groceries,55,24750.0,450.0,False,Monday,2,Q1,False,None,13.5,True,False,55.22,2023-02-20,50,8,20,57.0,52.0,25650.0,35.42857142857143,44.266666666666666
2023-02-21,P001,Basmati Rice 5kg,Groceries,51,22950.0,450.0,False,Tuesday,2,Q1,False,None,19.2,False,False,51.38,2023-02-21,51,8,21,55.0,52.0,24750.0,83.85714285714286,53.46666666666667
2023-02-22,P001,Basmati Rice 5kg,Groceries,50,22500.0,450.0,False,Wednesday,2,Q1,False,None,14.7,False,False,50.31,2023-02-22,52,8,22,51.0,49.0,22950.0,59.57142857142857,55.4
2023-02-23,P001,Basmati Rice 5kg,Groceries,38,17100.0,450.0,False,Thursday,2,Q1,False,None,18.7,False,False,38.08,2023-02-23,53,8,23,50.0,48.0,22500.0,51.42857142857143,59.333333333333336
2023-02-24,P001,Basmati Rice 5kg,Groceries,46,20700.0,450.0,False,Friday,2,Q1,False,None,20.2,False,False,46.12,2023-02-24,54,8,24,38.0,38.0,17100.0,53.0,58.666666666666664
2023-02-25,P001,Basmati Rice 5kg,Groceries,49,22050.0,450.0,True,Saturday,2,Q1,False,None,14.4,False,False,48.51,2023-02-25,55,8,25,46.0,51.0,20700.0,64.0,64.0
2023-02-26,P001,Basmati Rice 5kg,Groceries,53,23850.0,450.0,True,Sunday,2,Q1,False,None,20.1,False,False,53.27,2023-02-26,56,8,26,49.0,57.0,22050.0,94.14285714285714,78.42857142857143
2023-02-27,P001,Basmati Rice 5kg,Groceries,47,21150.0,450.0,False,Monday,2,Q1,False,None,13.3,False,False,47.1,2023-02-27,57,9,27,53.0,55.0,23850.0,68.42857142857143,77.83333333333333
2023-02-28,P001,Basmati Rice 5kg,Groceries,50,22500.0,450.0,False,Tuesday,2,Q1,False,None,19.6,False,False,50.28,2023-02-28,58,9,28,47.0,51.0,21150.0,69.57142857142857,77.7
2023-03-01,P001,Basmati Rice 5kg,Groceries,52,23400.0,450.0,False,Wednesday,3,Q1,False,None,25.8,False,False,51.84,2023-03-01,59,9,1,50.0,50.0,22500.0,64.85714285714286,71.96666666666667
2023-03-02,P001,Basmati Rice 5kg,Groceries,54,24300.0,450.0,False,Thursday,3,Q1,False,None,21.7,False,False,53.92,2023-03-02,60,9,2,52.0,38.0,23400.0,76.14285714285714,69.66666666666667
2023-03-03,P001,Basmati Rice 5kg,Groceries,39,17550.0,450.0,False,Friday,3,Q1,False,None,26.8,False,False,38.66,2023-03-03,61,9,3,54.0,46.0,24300.0,81.71428571428571,75.23333333333333
2023-03-04,P001,Basmati Rice 5kg,Groceries,48,21600.0,450.0,True,Saturday,3,Q1,False,None,21.2,False,False,48.14,2023-03-04,62,9,4,39.0,49.0,17550.0,87.28571428571429,81.9
2023-03-05,P001,Basmati Rice 5kg,Groceries,52,23400.0,450.0,True,Sunday,3,Q1,False,None,22.7,False,False,51.89,2023-03-05,63,9,5,48.0,53.0,21600.0,86.85714285714286,86.56666666666666
2023-03-06,P001,Basmati Rice 5kg,Groceries,71,31950.0,450.0,False,Monday,3,Q1,True,Holi,20.3,False,False,70.78,2023-03-06,64,10,6,52.0,47.0,23400.0,110.14285714285714,95.46666666666667
2023-03-07,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,False,Tuesday,3,Q1,True,Holi,24.7,False,True,99.07,2023-03-07,65,10,7,71.0,50.0,31950.0,113.0,101.2
2023-03-08,P001,Basmati Rice 5kg,Groceries,74,33300.0,450.0,False,Wednesday,3,Q1,True,Holi,23.7,False,False,73.63,2023-03-08,66,10,8,0.0,52.0,0.0,131.85714285714286,112.26666666666667
2023-03-09,P001,Basmati Rice 5kg,Groceries,70,31500.0,450.0,False,Thursday,3,Q1,True,Holi,19.1,False,False,69.94,2023-03-09,67,10,9,74.0,54.0,33300.0,116.0,111.9
2023-03-10,P001,Basmati Rice 5kg,Groceries,48,21600.0,450.0,False,Friday,3,Q1,False,None,22.6,False,False,48.06,2023-03-10,68,10,10,70.0,39.0,31500.0,82.57142857142857,113.03333333333333
2023-03-11,P001,Basmati Rice 5kg,Groceries,55,24750.0,450.0,True,Saturday,3,Q1,False,None,18.9,False,False,55.13,2023-03-11,69,10,11,48.0,48.0,21600.0,84.14285714285714,102.43333333333334
2023-03-12,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,True,Sunday,3,Q1,False,None,18.7,True,True,65.5,2023-03-12,70,10,12,55.0,52.0,24750.0,111.28571428571429,103.63333333333334
2023-03-13,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,False,Monday,3,Q1,False,None,17.2,False,True,40.35,2023-03-13,71,11,13,0.0,71.0,0.0,108.0,103.26666666666667
2023-03-14,P001,Basmati Rice 5kg,Groceries,77,34650.0,450.0,False,Tuesday,3,Q1,False,None,18.8,True,False,76.88,2023-03-14,72,11,14,0.0,0.0,0.0,113.71428571428571,111.6
2023-03-15,P001,Basmati Rice 5kg,Groceries,51,22950.0,450.0,False,Wednesday,3,Q1,False,None,21.7,False,False,50.85,2023-03-15,73,11,15,77.0,74.0,34650.0,98.28571428571429,105.13333333333334
2023-03-16,P001,Basmati Rice 5kg,Groceries,51,22950.0,450.0,False,Thursday,3,Q1,False,None,17.5,False,False,50.55,2023-03-16,74,11,16,51.0,70.0,22950.0,61.42857142857143,92.1
2023-03-17,P001,Basmati Rice 5kg,Groceries,49,22050.0,450.0,False,Friday,3,Q1,False,None,23.7,False,False,49.45,2023-03-17,75,11,17,51.0,48.0,22950.0,57.857142857142854,76.06666666666666
2023-03-18,P001,Basmati Rice 5kg,Groceries,77,34650.0,450.0,True,Saturday,3,Q1,False,None,19.1,True,False,76.71,2023-03-18,76,11,18,49.0,55.0,22050.0,78.28571428571429,67.86666666666666
2023-03-19,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,True,Sunday,3,Q1,False,None,17.3,False,True,50.82,2023-03-19,77,11,19,77.0,0.0,34650.0,60.0,68.5
2023-03-20,P001,Basmati Rice 5kg,Groceries,51,22950.0,450.0,False,Monday,3,Q1,False,None,22.6,False,False,50.77,2023-03-20,78,12,20,0.0,0.0,0.0,74.0,76.46666666666667
2023-03-21,P001,Basmati Rice 5kg,Groceries,55,24750.0,450.0,False,Tuesday,3,Q1,False,None,20.1,False,False,55.17,2023-03-21,79,12,21,51.0,77.0,22950.0,78.57142857142857,76.93333333333334
2023-03-22,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,False,Wednesday,3,Q1,False,None,20.6,False,True,54.24,2023-03-22,80,12,22,55.0,51.0,24750.0,81.0,81.03333333333333
2023-03-23,P001,Basmati Rice 5kg,Groceries,38,17100.0,450.0,False,Thursday,3,Q1,False,None,22.1,False,False,37.75,2023-03-23,81,12,23,0.0,51.0,0.0,105.28571428571429,80.8
2023-03-24,P001,Basmati Rice 5kg,Groceries,55,24750.0,450.0,False,Friday,3,Q1,False,None,25.8,False,False,54.57,2023-03-24,82,12,24,38.0,49.0,17100.0,92.28571428571429,88.4
2023-03-25,P001,Basmati Rice 5kg,Groceries,75,33750.0,450.0,True,Saturday,3,Q1,False,None,22.7,True,False,74.91,2023-03-25,83,12,25,55.0,77.0,24750.0,85.14285714285714,89.93333333333334
2023-03-26,P001,Basmati Rice 5kg,Groceries,57,25650.0,450.0,True,Sunday,3,Q1,False,None,26.6,False,False,56.66,2023-03-26,84,12,26,75.0,0.0,33750.0,100.71428571428571,94.43333333333334
2023-03-27,P001,Basmati Rice 5kg,Groceries,52,23400.0,450.0,False,Monday,3,Q1,False,None,19.7,False,False,52.43,2023-03-27,85,13,27,57.0,51.0,25650.0,107.14285714285714,99.5
2023-03-28,P001,Basmati Rice 5kg,Groceries,94,42300.0,450.0,False,Tuesday,3,Q1,True,Ram Navami,17.7,False,False,94.26,2023-03-28,86,13,28,52.0,55.0,23400.0,103.0,102.66666666666667
2023-03-29,P001,Basmati Rice 5kg,Groceries,95,42750.0,450.0,False,Wednesday,3,Q1,True,Ram Navami,21.6,False,False,94.51,2023-03-29,87,13,29,94.0,0.0,42300.0,91.42857142857143,110.06666666666666
2023-03-30,P001,Basmati Rice 5kg,Groceries,99,44550.0,450.0,False,Thursday,3,Q1,True,Ram Navami,17.6,False,False,99.34,2023-03-30,88,13,30,95.0,38.0,42750.0,79.28571428571429,100.9
2023-03-31,P001,Basmati Rice 5kg,Groceries,87,39150.0,450.0,False,Friday,3,Q1,True,Ram Navami,22.1,False,False,86.86,2023-03-31,89,13,31,99.0,55.0,44550.0,81.71428571428571,98.9
2023-04-01,P001,Basmati Rice 5kg,Groceries,64,28800.0,450.0,True,Saturday,4,Q2,False,None,30.9,True,False,64.18,2023-04-01,90,13,1,87.0,75.0,39150.0,80.28571428571429,83.0
2023-04-02,P001,Basmati Rice 5kg,Groceries,103,46350.0,450.0,True,Sunday,4,Q2,True,Mahavir Jayanti,28.9,False,False,102.75,2023-04-02,91,13,2,64.0,57.0,28800.0,84.57142857142857,82.36666666666666
2023-04-03,P001,Basmati Rice 5kg,Groceries,97,43650.0,450.0,False,Monday,4,Q2,True,Mahavir Jayanti,30.5,False,False,97.39,2023-04-03,92,14,3,103.0,52.0,46350.0,64.85714285714286,74.36666666666666
2023-04-04,P001,Basmati Rice 5kg,Groceries,141,63450.0,450.0,False,Tuesday,4,Q2,True,Mahavir Jayanti,23.6,True,False,140.91,2023-04-04,93,14,4,97.0,94.0,43650.0,73.28571428571429,71.36666666666666
2023-04-05,P001,Basmati Rice 5kg,Groceries,97,43650.0,450.0,False,Wednesday,4,Q2,True,Mahavir Jayanti,26.4,False,False,97.37,2023-04-05,94,14,5,141.0,95.0,63450.0,65.0,67.73333333333333
2023-04-06,P001,Basmati Rice 5kg,Groceries,57,25650.0,450.0,False,Thursday,4,Q2,False,None,25.6,False,False,57.14,2023-04-06,95,14,6,97.0,99.0,43650.0,87.14285714285714,71.53333333333333
2023-04-07,P001,Basmati Rice 5kg,Groceries,57,25650.0,450.0,False,Friday,4,Q2,False,None,27.2,False,False,57.16,2023-04-07,96,14,7,57.0,87.0,25650.0,80.57142857142857,76.73333333333333
2023-04-08,P001,Basmati Rice 5kg,Groceries,79,35550.0,450.0,True,Saturday,4,Q2,False,None,25.7,True,False,79.21,2023-04-08,97,14,8,57.0,64.0,25650.0,75.57142857142857,76.03333333333333
2023-04-09,P001,Basmati Rice 5kg,Groceries,59,26550.0,450.0,True,Sunday,4,Q2,False,None,26.2,False,False,58.79,2023-04-09,98,14,9,79.0,103.0,35550.0,99.0,81.43333333333334
2023-04-10,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,False,Monday,4,Q2,False,None,23.4,False,True,50.96,2023-04-10,99,15,10,59.0,97.0,26550.0,86.14285714285714,82.9
2023-04-11,P001,Basmati Rice 5kg,Groceries,75,33750.0,450.0,False,Tuesday,4,Q2,False,None,28.3,True,False,74.74,2023-04-11,100,15,11,0.0,141.0,0.0,118.42857142857143,95.03333333333333
2023-04-12,P001,Basmati Rice 5kg,Groceries,90,40500.0,450.0,False,Wednesday,4,Q2,True,Baisakhi,23.3,False,False,89.63,2023-04-12,101,15,12,75.0,97.0,33750.0,78.57142857142857,91.43333333333334
2023-04-13,P001,Basmati Rice 5kg,Groceries,140,63000.0,450.0,False,Thursday,4,Q2,True,Baisakhi,31.1,True,False,139.59,2023-04-13,102,15,13,90.0,57.0,40500.0,116.57142857142857,99.46666666666667
2023-04-14,P001,Basmati Rice 5kg,Groceries,82,36900.0,450.0,False,Friday,4,Q2,True,Baisakhi,27.1,False,False,82.19,2023-04-14,103,15,14,140.0,57.0,63000.0,85.0,95.26666666666667
2023-04-15,P001,Basmati Rice 5kg,Groceries,112,50400.0,450.0,True,Saturday,4,Q2,True,Baisakhi,27.7,False,False,111.79,2023-04-15,104,15,15,82.0,79.0,36900.0,99.71428571428571,100.4
2023-04-16,P001,Basmati Rice 5kg,Groceries,89,40050.0,450.0,True,Sunday,4,Q2,False,None,31.0,True,False,89.01,2023-04-16,105,15,16,112.0,59.0,50400.0,100.57142857142857,96.53333333333333
2023-04-17,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,False,Monday,4,Q2,False,None,28.9,True,True,54.39,2023-04-17,106,16,17,89.0,0.0,40050.0,98.71428571428571,98.46666666666667
2023-04-18,P001,Basmati Rice 5kg,Groceries,62,27900.0,450.0,False,Tuesday,4,Q2,False,None,28.4,True,False,62.29,2023-04-18,107,16,18,0.0,75.0,0.0,118.42857142857143,101.36666666666666
2023-04-19,P001,Basmati Rice 5kg,Groceries,52,23400.0,450.0,False,Wednesday,4,Q2,False,None,29.7,False,False,52.31,2023-04-19,108,16,19,62.0,90.0,27900.0,121.0,107.53333333333333
2023-04-20,P001,Basmati Rice 5kg,Groceries,87,39150.0,450.0,False,Thursday,4,Q2,True,Eid al-Fitr,29.1,False,False,86.72,2023-04-20,109,16,20,52.0,140.0,23400.0,103.57142857142857,107.6
2023-04-21,P001,Basmati Rice 5kg,Groceries,103,46350.0,450.0,False,Friday,4,Q2,True,Eid al-Fitr,28.6,False,False,102.93,2023-04-21,110,16,21,87.0,82.0,39150.0,11.571428571428571,11.571428571428571
2023-04-22,P001,Basmati Rice 5kg,Groceries,86,38700.0,450.0,True,Saturday,4,Q2,True,Eid al-Fitr,25.4,False,False,86.06,2023-04-22,111,16,22,103.0,112.0,46350.0,19.428571428571427,15.058823529411764
2023-04-23,P001,Basmati Rice 5kg,Groceries,89,40050.0,450.0,True,Sunday,4,Q2,True,Eid al-Fitr,29.8,False,False,88.97,2023-04-23,112,16,23,86.0,89.0,38700.0,22.0,16.037037037037038
2023-04-24,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,False,Monday,4,Q2,False,None,25.8,True,True,55.5,2023-04-24,113,17,24,89.0,0.0,40050.0,9.285714285714286,15.6
2023-04-25,P001,Basmati Rice 5kg,Groceries,39,17550.0,450.0,False,Tuesday,4,Q2,False,None,31.5,False,False,38.55,2023-04-25,114,17,25,0.0,62.0,0.0,9.142857142857142,12.7
2023-04-26,P001,Basmati Rice 5kg,Groceries,76,34200.0,450.0,False,Wednesday,4,Q2,False,None,25.6,True,False,75.64,2023-04-26,115,17,26,39.0,52.0,17550.0,9.714285714285714,10.366666666666667
2023-04-27,P001,Basmati Rice 5kg,Groceries,52,23400.0,450.0,False,Thursday,4,Q2,False,None,28.6,False,False,51.63,2023-04-27,116,17,27,76.0,87.0,34200.0,17.0,11.3
2023-04-28,P001,Basmati Rice 5kg,Groceries,63,28350.0,450.0,False,Friday,4,Q2,False,None,27.0,True,False,63.33,2023-04-28,117,17,28,52.0,103.0,23400.0,14.571428571428571,13.3
2023-04-29,P001,Basmati Rice 5kg,Groceries,53,23850.0,450.0,True,Saturday,4,Q2,False,None,23.5,False,False,52.65,2023-04-29,118,17,29,63.0,86.0,28350.0,12.857142857142858,13.9
2023-04-30,P001,Basmati Rice 5kg,Groceries,61,27450.0,450.0,True,Sunday,4,Q2,False,None,30.6,False,False,60.82,2023-04-30,119,17,30,53.0,89.0,23850.0,22.285714285714285,16.466666666666665
2023-05-01,P001,Basmati Rice 5kg,Groceries,0,0.0,450.0,False,Monday,5,Q2,False,None,34.8,False,True,57.17,2023-05-01,120,18,1,61.0,0.0,27450.0,19.571428571428573,18.033333333333335
2023-05-02,P001,Basmati Rice 5kg,Groceries,48,21600.0,450.0,False,Tuesday,5,Q2,False,None,34.2,False,False,48.03,2023-05-02,121,18,2,0.0,39.0,0.0,31.285714285714285,22.433333333333334
2023-05-03,P001,Basmati Rice 5kg,Groceries,85,38250.0,450.0,False,Wednesday,5,Q2,True,Buddha Purnima,33.6,False,False,84.81,2023-05-03,122,18,3,48.0,76.0,21600.0,22.714285714285715,21.566666666666666
2023-05-04,P001,Basmati Rice 5kg,Groceries,104,46800.0,450.0,False,Thursday,5,Q2,True,Buddha Purnima,31.6,False,False,103.83,2023-05-04,123,18,4,85.0,52.0,38250.0,11.857142857142858,19.133333333333333
2023-05-05,P001,Basmati Rice 5kg,Groceries,101,45450.0,450.0,False,Friday,5,Q2,True,Buddha Purnima,35.3,False,False,100.89,2023-05-05,124,18,5,104.0,63.0,46800.0,14.428571428571429,15.1
2023-05-06,P001,Basmati Rice 5kg,Groceries,99,44550.0,450.0,True,Saturday,5,Q2,True,Buddha Purnima,39.6,False,False,99.05,2023-05-06,125,18,6,101.0,53.0,45450.0,12.571428571428571,13.0
